TRAVELER_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM_NP,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
a000317,a_a000317,6,제주밥상,제주밥상,RES,126.4919038,33.48275409,3,2,2
a000317,a_a000317,7,이중섭미술관,이중섭미술관,TOU,126.564888,33.24590378,5,5,5
a000317,a_a000317,13,쌍둥이횟집,쌍둥이횟집,RES,126.5629275,33.24656772,1,1,1
a000317,a_a000317,15,천제연폭포,천제연폭포,TOU,126.4183754,33.25267658,5,5,5
a000317,a_a000317,16,돈내코계곡,돈내코계곡,TOU,126.5819685,33.30041347,4,5,5
a000317,a_a000317,17,협재해수욕장,협재해수욕장,TOU,126.2391575,33.39386608,4,4,4
a000317,a_a000317,18,만강촌옛날칼국수,만강촌옛날칼국수,RES,126.4759795,33.48926219,5,5,5
a002368,a_a002368,11,인천 청석루,인천 청석루,RES,126.4719716,33.50889441,5,4,4
a002976,a_a002976,5,제주김만복 본점,제주김만복 본점,RES,126.5089219,33.4970354,5,5,5
a002976,a_a002976,6,함덕해수욕장,함덕해수욕장,TOU,126.6692389,33.54306157,5,5,5
a002976,a_a002976,8,제주옹기정원 야원,제주옹기정원 야원,RES,126.6650563,33.46950161,5,5,5
a002976,a_a002976,9,사려니숲길,사려니숲길,TOU,126.6264973,33.42203283,5,5,5
a002976,a_a002976,10,산굼부리,산굼부리,TOU,126.693832,33.43257409,5,5,5
a002976,a_a002976,19,천지연폭포,천지연폭포,TOU,126.5545223,33.24721232,5,5,5
a002976,a_a002976,20,60빈스,60빈스,RES,126.5366647,33.2415209,5,5,5
a002976,a_a002976,21,한라산1100고지,한라산1100고지,TOU,126.4622197,33.35807817,4,4,4
a002976,a_a002976,22,꿀봉,꿀봉,RES,126.2963305,33.35903401,4,3,4
a002976,a_a002976,23,새별오름,새별오름,TOU,126.3577307,33.36627759,5,5,5
a002976,a_a002976,25,하갈비,하갈비,RES,126.3089829,33.46433159,5,5,5
a002976,a_a002976,26,제주동문시장,제주동문시장,TOU,126.5283034,33.51278396,5,5,5
a003218,a_a003218,6,자매국수 본점,자매국수 본점,RES,126.5170077,33.51681563,3,2,3
a003218,a_a003218,7,너와의첫여행,너와의첫여행,RES,126.3845398,33.45063789,4,4,4
a003218,a_a003218,10,원조제원깡통숯불구이,원조제원깡통숯불구이,RES,126.4894832,33.48819878,5,5,5
a003218,a_a003218,12,수산봉,수산봉,TOU,126.3845559,33.47301361,4,4,4
a003218,a_a003218,14,명월국민학교,명월국민학교,RES,126.2648717,33.38873775,4,3,4
a003218,a_a003218,15,새별오름,새별오름,TOU,126.3577307,33.36627759,4,2,3
a003218,a_a003218,17,신창풍차해안도로,신창풍차해안도로,TOU,126.174206,33.34308103,4,4,4
a003218,a_a003218,19,바다보는날,바다보는날,RES,126.3780147,33.48390819,4,3,4
a003218,a_a003218,20,양떼목장,양떼목장,TOU,126.3654582,33.41097982,1,2,1
a003218,a_a003218,21,미스틱3도,미스틱3도,RES,126.4875563,33.44994698,5,4,5
a003218,a_a003218,23,제주동문시장,제주동문시장,TOU,126.5283034,33.51278396,5,5,5
a003416,a_a003416,7,부일부대찌개,부일부대찌개,RES,126.492769,33.50707896,4,3,3
a003610,a_a003610,6,차이나타운 황제의계단,차이나타운 황제의계단,TOU,126.4919433,33.49072072,4,3,1
a003788,a_a003788,6,흑돼지거리,흑돼지거리,TOU,126.5268014,33.51545776,5,4,4
a003788,a_a003788,7,돈향기,돈향기,RES,126.5270319,33.51581928,5,5,4
a003788,a_a003788,11,바이크제주,바이크제주,TOU,126.5042857,33.50842386,3,3,3
a003788,a_a003788,13,용두암,용두암,TOU,126.5119571,33.51611062,4,2,2
a003788,a_a003788,14,제주동문시장,제주동문시장,TOU,126.5283034,33.51278396,5,3,4
a003788,a_a003788,15,이호테우해수욕장,이호테우해수욕장,TOU,126.4526908,33.4973768,5,5,4
a003788,a_a003788,17,노을리카페,노을리카페,RES,126.3727352,33.47985059,1,4,5
a003788,a_a003788,19,잇칸시타,잇칸시타,RES,126.3702399,33.47706737,5,5,5
a003788,a_a003788,22,장안사,장안사,TOU,126.4686788,33.50633966,5,3,3
a003788,a_a003788,23,바이크제주,바이크제주,TOU,126.5042857,33.50842386,3,2,3
a004595,a_a004595,4,제주동문시장,제주동문시장,TOU,126.5283034,33.51278396,4,3,4
a004595,a_a004595,11,제주국담,제주국담,RES,126.4947017,33.48858982,5,5,5
a004869,a_a004869,4,전등사,전등사,TOU,126.1998178,33.36493014,5,5,5
a006450,a_a006450,2,풍년식당,풍년식당,RES,126.3060327,33.24972016,2,1,1
a006450,a_a006450,3,대룡시장,대룡시장,TOU,126.5182933,33.25463201,3,2,3
a006450,a_a006450,6,화개산전망대,화개산전망대,TOU,126.2949908,33.25481888,4,3,3
a007125,a_a007125,4,새별오름,새별오름,TOU,126.3577307,33.36627759,4,3,4
a007125,a_a007125,5,금자매식당,금자매식당,RES,126.1764373,33.30584383,5,5,5
a007125,a_a007125,7,송악산,송악산,TOU,126.2897914,33.19908294,5,5,5
a007125,a_a007125,9,우수미회센터,우수미회센터,RES,126.4898721,33.47729832,3,3,3
a007125,a_a007125,12,탐모라,탐모라,RES,126.5045475,33.49948654,5,5,5
a007125,a_a007125,21,델문도,델문도,RES,126.668724,33.54370934,4,4,4
a007875,a_a007875,6,소무의도,소무의도,TOU,126.492769,33.50707896,4,4,4
a011544,a_a011544,3,돈셰프흑돼지,돈셰프흑돼지,RES,126.3628779,33.47764102,5,5,5
a011544,a_a011544,6,협재해수욕장,협재해수욕장,TOU,126.2391575,33.39386608,5,5,5
a011544,a_a011544,7,금능해수욕장,금능해수욕장,TOU,126.2358899,33.39044882,5,5,5
a011544,a_a011544,10,오설록티뮤지엄,오설록티뮤지엄,TOU,126.2894893,33.30591329,3,4,4
a011544,a_a011544,11,새별오름,새별오름,TOU,126.3577307,33.36627759,5,5,5
